MobileId,priceRange,processor,display,primarycamera,battery,frontcamera
Samsung Galaxy S6 Edge Plus 2015_september,35911,Octa core,"5.7"" (14.48 cm)",16 MP,3000 mAh,5 MP
Sony Xperia C5 Ultra Dual 2015_august,24549,Octa core,"6.0"" (15.24 cm)",13 MP,2930 mAh,13 MP
HTC Desire 820G+ Dual SIM 2015_june,10190,Octa core,"5.5"" (13.97 cm)",13 MP,2600 mAh,8 MP
Asus Zenfone 2 ZE551ML 4GB RAM 32GB 2.3GHz 2015_april,14999,Quad core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Lyf Flame 1 2016_february,4844,Quad core,"4.5"" (11.43 cm)",5 MP,2000 mAh,5 MP
Samsung Galaxy Core 2 Duos 2014_july,7968,Quad core,"4.5"" (11.43 cm)",5 MP,2000 mAh,0.3 MP
Samsung Galaxy Note 5 Dual SIM 32GB 2016_january,40900,Octa core,"5.7"" (14.48 cm)",16 MP,3000 mAh,5 MP
Micromax Canvas Knight 2 4G 2015_june,6799,Octa core,"5.0"" (12.7 cm)",13 MP,2260 mAh,5 MP
Samsung Galaxy A3 2015_january,8189,Quad core,"4.5"" (11.43 cm)",8 MP,1900 mAh,5 MP
LG G4 Stylus 4G 2015_july,8911,Quad core,"5.7"" (14.48 cm)",13 MP,3000 mAh,5 MP
Sony Xperia T2 Ultra Dual 2014_march,14790,Quad core,"6.0"" (15.24 cm)",13 MP,3000 mAh,1.1 MP
Micromax Bolt Q383 2016_march,3600,Quad core,"5.0"" (12.7 cm)",2 MP,1800 mAh,0.3 MP
XOLO Black 1X 2015_november,23500,Octa core,"5.0"" (12.7 cm)",13 MP,2400 mAh,5 MP
Intex Aqua Star 4G 2015_december,5876,Quad core,"5.0"" (12.7 cm)",8 MP,2000 mAh,2 MP
Intex Aqua Power HD 2015_february,7190,Octa core,"5.0"" (12.7 cm)",13 MP,4000 mAh,5 MP
Swipe Konnect 5.1 2015_october,3099,Quad core,"5.0"" (12.7 cm)",8 MP,3000 mAh,3.2 MP
Samsung Galaxy J1 2015_february,5850,Dual core,"4.3"" (10.92 cm)",5 MP,1850 mAh,2 MP
Nokia 130 Dual SIM 2014_september,1599,Dual core,"1.8"" (4.57 cm)",5 MP,1020 mAh,2 MP
Gionee Marathon M4 2015_july,12960,Quad core,"5.0"" (12.7 cm)",8 MP,5000 mAh,5 MP
Micromax Canvas Pace 4G Q416 2015_november,6000,Quad core,"5.0"" (12.7 cm)",5 MP,2500 mAh,2 MP
Lava Pixel V2 2015_september,7999,Quad core,"5.0"" (12.7 cm)",13 MP,2500 mAh,8 MP
Gionee Elife S Plus 2015_november,13460,Octa core,"5.5"" (13.97 cm)",13 MP,3150 mAh,5 MP
Lenovo A6000 Plus 2015_april,7990,Quad core,"5.0"" (12.7 cm)",8 MP,2300 mAh,2 MP
Samsung Metro B350E 2015_august,2680,Quad core,"2.4"" (6.1 cm)",2 MP,1200 mAh,2 MP
HTC Desire 626G Plus 2015_april,7899,Octa core,"5.0"" (12.7 cm)",13 MP,2000 mAh,5 MP
Samsung Galaxy Note 5 32GB 2015_september,40900,Octa core,"5.7"" (14.48 cm)",16 MP,3000 mAh,5 MP
Lenovo P70 2015_april,10699,Octa core,"5.0"" (12.7 cm)",13 MP,4000 mAh,5 MP
InFocus M425 Bingo 2016_march,4889,Quad core,"4.5"" (11.43 cm)",8 MP,2300 mAh,5 MP
Samsung Galaxy Grand Prime 2014_september,7444,Quad core,"5.0"" (12.7 cm)",8 MP,2600 mAh,5 MP
Micromax Canvas Blaze 4G Q400 2015_september,5599,Quad core,"4.5"" (11.43 cm)",5 MP,2000 mAh,2 MP
Apple iPhone 6s 64GB 2015_october,55499,Dual core,"4.7"" (11.94 cm)",12 MP,1715 mAh,5 MP
HTC One E9s 2015_september,13380,Octa core,"5.5"" (13.97 cm)",13 MP,2600 mAh,4 UP
Intex Cloud 4G Star 2015_august,5929,Quad core,"5.0"" (12.7 cm)",13 MP,2300 mAh,5 MP
Lenovo A6000 2015_january,6999,Quad core,"5.0"" (12.7 cm)",8 MP,2300 mAh,2 MP
Panasonic P55 Novo 8GB 2015_july,5895,Octa core,"5.3"" (13.46 cm)",13 MP,2500 mAh,5 MP
Sony Xperia Z3+ 2015_june,27990,Octa core,"5.2"" (13.21 cm)",20.7 MP,2930 mAh,5.1 MP
Panasonic T50 2016_march,4248,Quad core,"4.5"" (11.43 cm)",5 MP,1600 mAh,2 MP
Vivo Y27L 2015_september,9990,Quad core,"4.7"" (11.94 cm)",8 MP,2260 mAh,5 MP
Sansui X70 2016_march,1099,Quad core,"2.4"" (6.1 cm)",0.3 MP,3000 mAh,5 MP
LG G4 Dual 2015_june,19911,Hexa Core,"5.5"" (13.97 cm)",16 MP,3000 mAh,8 MP
Gionee Marathon M3 2014_november,8000,Quad core,"5.0"" (12.7 cm)",8 MP,5000 mAh,2 MP
Apple iPhone 4s 16GB 2011_november,11999,Dual core,"3.5"" (8.89 cm)",8 MP,1430 mAh,0.3 MP
Google LG Nexus 5 16GB 2013_october,12999,Quad core,"4.95"" (12.57 cm)",8 MP,2300 mAh,1.3 MP
Panasonic T45 4G 2015_august,5213,Quad core,"4.5"" (11.43 cm)",5 MP,1800 mAh,0.3 MP
Celkon Q567 2016_march,2799,Quad core,"5.0"" (12.7 cm)",5 MP,2000 mAh,0.3 MP
Xiaomi Mi4i 32GB 2015_july,14999,Octa core,"5.0"" (12.7 cm)",13 MP,3120 mAh,5 MP
HTC Desire 816 2014_april,18490,Quad core,"5.5"" (13.97 cm)",13 MP,2600 mAh,5 MP
Sony Xperia M4 Aqua Dual 16GB 2015_may,18790,Octa core,"5.0"" (12.7 cm)",13 MP,2400 mAh,5 MP
Gionee L800 2013_april,2030,Octa core,"2.8"" (7.11 cm)",1.3 MP,3000 mAh,5 MP
HTC One A9 32GB 2015_december,23875,Octa core,"5.0"" (12.7 cm)",13 MP,2150 mAh,4 UP
Asus Zenfone 2 Laser ZE550KL 3GB RAM  2015_october,9999,Octa core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Lenovo A7000 Turbo 2016_january,7999,Octa core,"5.5"" (13.97 cm)",13 MP,2900 mAh,5 MP
Micromax Canvas Juice 3 Q392 2015_september,4999,Quad core,"5.0"" (12.7 cm)",8 MP,4000 mAh,2 MP
Trio T5000 2016_february,1599,Quad core,"2.4"" (6.1 cm)",1.3 MP,5000 mAh,2 MP
Micromax Canvas Play 4G 2015_september,7865,Quad core,"5.5"" (13.97 cm)",13 MP,2820 mAh,5 MP
Microsoft Lumia 640 XL Dual SIM 2015_april,10000,Quad core,"5.7"" (14.48 cm)",13 MP,3000 mAh,5 MP
Samsung Galaxy S6 Edge 32GB 2015_april,34900,Octa core,"5.1"" (12.95 cm)",16 MP,2600 mAh,5 MP
Nokia XL 2014_may,7490,Dual core,"5.0"" (12.7 cm)",5 MP,2000 mAh,2 MP
Micromax Canvas Juice 4 Q382 2016_january,4535,Quad core,"5.0"" (12.7 cm)",5 MP,3000 mAh,2 MP
Sony Xperia Z2 2014_april,27999,Quad core,"5.2"" (13.21 cm)",20.7 MP,3200 mAh,2.2 MP
Oppo Neo 5 (2015) 2015_june,6190,Quad core,"4.5"" (11.43 cm)",8 MP,2000 mAh,2 MP
Karbonn Titanium Mach Five 2015_august,4699,Quad core,"5.0"" (12.7 cm)",8 MP,2200 mAh,5 MP
Asus Zenfone 2 Laser ZE601KL 2015_december,13999,Octa core,"6.0"" (15.24 cm)",13 MP,3000 mAh,5 MP
Karbonn Quattro L50 2016_january,5599,Quad core,"5.0"" (12.7 cm)",13 MP,2600 mAh,5 MP
Lava Iris X10 2015_december,9750,Quad core,"5.0"" (12.7 cm)",13 MP,2900 mAh,5 MP
Sony Xperia Z5 Premium Dual 2015_november,38990,Octa core,"5.5"" (13.97 cm)",23 MP,3430 mAh,5 MP
Micromax Canvas Pulse 4G E451 2015_december,7355,Octa core,"5.0"" (12.7 cm)",13 MP,2100 mAh,5 MP
Samsung Galaxy S4 2013_april,14990,Octa core,"5"" (12.7 cm)",13 MP,2600 mAh,2 MP
InFocus M680 2015_december,8990,Octa core,"5.5"" (13.97 cm)",13 MP,2600 mAh,13 MP
HTC One M8 2014_may,55900,Quad core,"5.0"" (12.7 cm)",4 UP,2600 mAh,5 MP
Lenovo A6010 2015_november,8999,Quad core,"5.0"" (12.7 cm)",8 MP,2300 mAh,5 MP
Qiku Q Terra 808 2015_december,13999,Hexa Core,"6.0"" (15.24 cm)",13 MP,3700 mAh,8 MP
Samsung Galaxy E5 2015_january,13145,Quad core,"5.0"" (12.7 cm)",8 MP,2400 mAh,5 MP
Vivo X5Max 2015_january,24999,Octa core,"5.5"" (13.97 cm)",13 MP,2300 mAh,5 MP
Blackberry Z10 2013_january,9299,Dual core,"4.2"" (10.67 cm)",8 MP,1800 mAh,2 MP
Lava Pixel V1 2015_july,6999,Quad core,"5.5"" (13.97 cm)",13 MP,2650 mAh,8 MP
InFocus M370 2015_october,6225,Quad core,"5.0"" (12.7 cm)",8 MP,2230 mAh,2 MP
Micromax Canvas Mega 2015_november,4985,Octa core,"5.5"" (13.97 cm)",13 MP,2820 mAh,5 MP
Lenovo Vibe S1 2015_november,18100,Octa core,"5.0"" (12.7 cm)",13 MP,2420 mAh,8 MP
Samsung Galaxy Core Prime 2014_october,6499,Quad core,"4.5"" (11.43 cm)",5 MP,2000 mAh,2 MP
Yu Yureka 2015_january,12500,Octa core,"5.5"" (13.97 cm)",13 MP,2500 mAh,5 MP
Gionee M2 4GB 2014_february,10800,Quad core,"5.0"" (12.7 cm)",8 MP,4200 mAh,2 MP
Intex Turbo S5 2014_december,1462,Quad core,"2.4"" (6.1 cm)",0.3 MP,1500 mAh,2 MP
HTC Desire Eye 2014_december,26000,Quad core,"5.2"" (13.21 cm)",13 MP,2400 mAh,13 MP
Lyf Earth 1 2016_january,14999,Octa core,"5.5"" (13.97 cm)",13 MP,3500 mAh,5 MP
Microsoft Lumia 540 Dual SIM 2015_may,8499,Quad core,"5.0"" (12.7 cm)",8 MP,2200 mAh,5 MP
Samsung Galaxy S3 2012_may,30318,Quad core,"4.8"" (12.19 cm)",8 MP,2100 mAh,1.9 MP
Panasonic Love T35 2015_september,2659,Quad core,"4.0"" (10.16 cm)",2 MP,1400 mAh,0.3 MP
Lava KKT Jumbo 2016_february,1499,Quad core,"2.8"" (7.11 cm)",0.3 MP,4000 mAh,0.3 MP
Samsung Galaxy Alpha 2014_september,21424,Octa core,"4.7"" (11.94 cm)",12 MP,1860 mAh,2.1 MP
Aiek M5 2015_april,1598,Octa core,"1.0"" (2.54 cm)",12 MP,320 mAh,2.1 MP
Apple iPhone 5s 64GB 2013_november,55999,Dual core,"4.0"" (10.16 cm)",8 MP,1560 mAh,1.2 MP
Lava X11 2016_march,7248,Quad core,"5.0"" (12.7 cm)",8 MP,2500 mAh,5 MP
Blackberry Z3 2014_june,9978,Dual core,"5.0"" (12.7 cm)",5 MP,2500 mAh,1.1 MP
Micromax Unite 2 2014_may,2611,Quad core,"4.7"" (11.94 cm)",5 MP,2000 mAh,2 MP
Nokia 105 2013_april,1249,Quad core,"1.4"" (3.56 cm)",5 MP,800 mAh,2 MP
Motorola Moto X Style 16GB 2015_october,26999,Hexa Core,"5.7"" (14.48 cm)",21 MP,3000 mAh,5 MP
Spice Smart Flo Mi-403e 2015_june,1999,Hexa Core,"4.0"" (10.16 cm)",2 MP,1400 mAh,1.3 MP
Micromax Canvas Fire 4G 2015_september,5112,Quad core,"4.5"" (11.43 cm)",5 MP,1850 mAh,2 MP
Google LG Nexus 5 32GB 2013_october,14999,Quad core,"4.95"" (12.57 cm)",8 MP,2300 mAh,1.3 MP
Lava A71 2016_february,6499,Quad core,"5.0"" (12.7 cm)",5 MP,2500 mAh,2 MP
Micromax Canvas Doodle 4 Q391 2015_may,5790,Quad core,"6.0"" (15.24 cm)",8 MP,3000 mAh,2 MP
Gionee F103 2015_september,9200,Quad core,"5.0"" (12.7 cm)",8 MP,2400 mAh,5 MP
"Asus Zenfone 2 ZE551ML (2GB RAM, Full HD, 16GB, 1.8GHz) 2015_april",10899,Quad core,"5.5"" (13.97 cm)",13 MP,3000 mAh,5 MP
Microsoft Lumia 950 XL Dual SIM 2015_november,54599,Octa core,"5.7"" (14.48 cm)",20 MP,3340 mAh,5 MP
Samsung Galaxy J1 4G 2015_march,6890,Dual core,"4.3"" (10.92 cm)",5 MP,1850 mAh,2 MP
Apple iPhone 6s Plus 16GB 2015_october,45699,Dual core,"5.5"" (13.97 cm)",12 MP,2750 mAh,5 MP
Celkon Diamond 4G Plus 2016_january,5599,Quad core,"5.0"" (12.7 cm)",8 MP,2200 mAh,3.2 MP
HTC One ME Dual SIM 2015_july,24990,Octa core,"5.2"" (13.21 cm)",20 MP,2840 mAh,4 UP
Micromax Canvas Spark 2015_april,4890,Quad core,"4.7"" (11.94 cm)",8 MP,2000 mAh,2 MP
Micromax Canvas Xpress 2 E313 2015_august,6199,Octa core,"5.0"" (12.7 cm)",13 MP,2500 mAh,2 MP
Philips E103 2016_february,1050,Octa core,"1.8"" (4.57 cm)",0.3 MP,1050 mAh,2 MP
Apple iPhone 6 64GB 2014_october,48900,Dual core,"4.7"" (11.94 cm)",8 MP,1810 mAh,1.2 MP
Vivo X5 Pro 2015_august,18990,Octa core,"5.2"" (13.21 cm)",13 MP,2450 mAh,8 MP
Samsung Galaxy Note Edge 2015_january,40000,Quad core,"5.6"" (14.22 cm)",16 MP,3000 mAh,3.7 MP
Fly Tornado 2016_march,4900,Octa core,"4.8"" (12.19 cm)",8 MP,2050 mAh,5 MP
Micromax Canvas Blaze 4G Plus 2015_november,5480,Quad core,"4.5"" (11.43 cm)",8 MP,1750 mAh,2 MP
Vivo Y15S 2015_september,6690,Quad core,"4.5"" (11.43 cm)",5 MP,1900 mAh,2 MP
Sony Xperia Z3+ Dual 2015_october,24790,Octa core,"5.2"" (13.21 cm)",20.7 MP,2930 mAh,5.1 MP
Lava KKT Trio 2015_september,1550,Octa core,"2.8"" (7.11 cm)",1.3 MP,2800 mAh,5.1 MP
Blackberry Passport 2014_october,28300,Quad core,"4.5"" (11.43 cm)",13 MP,3450 mAh,2 MP
InFocus M370 16GB 2015_november,6199,Quad core,"5.0"" (12.7 cm)",8 MP,2230 mAh,2 MP
HTC Desire 820s Dual SIM 2015_march,14990,Octa core,"5.5"" (13.97 cm)",13 MP,2600 mAh,8 MP
Samsung Galaxy Note 3 Neo 2014_february,25812,Hexa Core,"5.5"" (13.97 cm)",8 MP,3100 mAh,2 MP
Intex Aqua Power Plus 2015_april,6999,Quad core,"5.0"" (12.7 cm)",13 MP,4000 mAh,5 MP
Micromax Canvas Nitro 3 E352 2015_november,5399,Octa core,"5.0"" (12.7 cm)",13 MP,2500 mAh,5 MP
Motorola Moto Turbo 2015_march,31999,Quad core,"5.2"" (13.21 cm)",21 MP,3900 mAh,2 MP
Micromax Canvas Nitro A311 2014_december,6999,Octa core,"5.0"" (12.7 cm)",13 MP,2500 mAh,5 MP
LG G3 16GB 2014_july,27999,Quad core,"5.5"" (13.97 cm)",13 MP,3000 mAh,2.1 MP
Microsoft Lumia 535 Dual SIM 2014_november,8899,Quad core,"5.0"" (12.7 cm)",5 MP,1905 mAh,5 MP
Gionee Pioneer P6 2015_january,6399,Quad core,"5.0"" (12.7 cm)",5 MP,1950 mAh,2 MP
Vivo Y22 2014_december,8980,Quad core,"4.5"" (11.43 cm)",8 MP,1900 mAh,5 MP
Apple iPhone 6 Plus 16GB 2014_october,39880,Dual core,"5.5"" (13.97 cm)",8 MP,2915 mAh,1.2 MP
Gionee CTRL V6L LTE 2015_march,7940,Quad core,"5.0"" (12.7 cm)",8 MP,1950 mAh,5 MP
Motorola Moto G 8GB 2013_november,11990,Quad core,"4.5"" (11.43 cm)",5 MP,2070 mAh,1.3 MP
Intex Aqua Craze 2016_february,4999,Quad core,"5.0"" (12.7 cm)",8 MP,2500 mAh,2 MP
Coolpad Dazen X7 2015_june,8399,Octa core,"5.2"" (13.21 cm)",13 MP,2700 mAh,8 MP
